nappedia_file,bytes,sc_twin_path,code_refs,nappedia_urls,date_added,last_edited
saatva_protector_watercolor.jpg,749147,C:/Users/chris/standardcommand/public/assets/illustrations/saatva_protector_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py;scripts/verify_phase1_assets.cjs,via app/components/SaatvaBrandHub.tsx;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
saatva_rx_watercolor.jpg,754783,C:/Users/chris/standardcommand/public/assets/illustrations/saatva_rx_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;app/data/saatvaResearch.ts;public/compare.html;public/mockups/compare.html;public/mockups/saatva-brand-page.html,via app/components/SaatvaBrandHub.tsx;via app/data/researchRecords.ts;/compare;(mockup) /mockups/compare,2026-09-06,2026-09-06
saatva_topper_foam_watercolor.jpg,733267,C:/Users/chris/standardcommand/public/assets/illustrations/saatva_topper_foam_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py;scripts/verify_phase1_assets.cjs,via app/components/SaatvaBrandHub.tsx;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
saatva_topper_graphite_watercolor.jpg,748513,C:/Users/chris/standardcommand/public/assets/illustrations/saatva_topper_graphite_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py;scripts/verify_phase1_assets.cjs,via app/components/SaatvaBrandHub.tsx;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
saatva_topper_latex_watercolor.jpg,738215,C:/Users/chris/standardcommand/public/assets/illustrations/saatva_topper_latex_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py;scripts/verify_phase1_assets.cjs,via app/components/SaatvaBrandHub.tsx;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
saatva_youth_watercolor.jpg,753975,C:/Users/chris/standardcommand/public/assets/illustrations/saatva_youth_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;app/data/saatvaResearch.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py,via app/components/SaatvaBrandHub.tsx;via app/data/researchRecords.ts;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
sealy_bali.jpg,749247,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/sealy_bali.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
serta_bali.jpg,750520,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/serta_bali.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
sleep_quality_fatigue_cycle.jpg,878187,C:/Users/chris/standardcommand/public/assets/illustrations/sleep_quality_fatigue_cycle.jpg,,,2026-09-06,2026-09-06
solaire_watercolor.jpg,755548,C:/Users/chris/standardcommand/public/assets/illustrations/solaire_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;app/data/saatvaResearch.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py,via app/components/SaatvaBrandHub.tsx;via app/data/researchRecords.ts;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
stearns_bali.jpg,846085,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/stearns_bali.jpg,,,2026-09-06,2026-09-06
style1_scandi_cutaway.jpg,822622,C:/Users/chris/standardcommand/public/assets/illustrations/style1_scandi_cutaway.jpg,,,2026-09-02,2026-09-02
style2_swiss_blueprint.jpg,820339,C:/Users/chris/standardcommand/public/assets/illustrations/style2_swiss_blueprint.jpg,,,2026-09-02,2026-09-02
style3_bauhaus_poster.jpg,570516,C:/Users/chris/standardcommand/public/assets/illustrations/style3_bauhaus_poster.jpg,,,2026-09-02,2026-09-02
style4_japandi_editorial.jpg,875575,C:/Users/chris/standardcommand/public/assets/illustrations/style4_japandi_editorial.jpg,,,2026-09-02,2026-09-02
tempur_bali.jpg,751694,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/tempur_bali.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
tempurpedic_adapt_cutaway.jpg,799486,C:/Users/chris/standardcommand/public/assets/illustrations/tempurpedic_adapt_cutaway.jpg,public/nappedia_quiz_interactive_v2.html;public/preview_nappedia_teardowns.html;public/quiz.html;public/sleep-quiz-v2.html;scripts/brands_export.json;scripts/build_brand_mockup.py,/nappedia_quiz_interactive_v2;/preview_nappedia_teardowns;/quiz;/sleep-quiz-v2,2026-09-03,2026-09-05
toxicology_silica_barrier.jpg,946319,C:/Users/chris/standardcommand/public/assets/illustrations/toxicology_silica_barrier.jpg,,,2026-09-06,2026-09-06
tuft_bali.jpg,755353,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/tuft_bali.jpg,public/compare.html;public/mockups/compare.html,/compare;(mockup) /mockups/compare,2026-09-06,2026-09-06
winkbeds_bali.jpg,758377,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/winkbeds_bali.jpg,public/compare.html;public/index.html;public/mockups/compare.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/compare;/;(mockup) /mockups/compare;(mockup) /mockups/modular-clean-home,2026-09-06,2026-09-06
zenhaven_watercolor.jpg,763420,C:/Users/chris/standardcommand/public/assets/illustrations/zenhaven_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;app/data/saatvaResearch.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py,via app/components/SaatvaBrandHub.tsx;via app/data/researchRecords.ts;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
